position	abbr1	abbr2	aa_characteristics	helical_properties
1	A	Ala	non_polar	high_helical_propensity
2	C	Cys	polar_neutral	low_helical_propensity
3	D	Asp	negative	low_helical_propensity
4	E	Glu	negative	high_helical_propensity
5	F	Phe	aromatic	low_helical_propensity
6	G	Gly	unique	disruptive
7	H	His	positive	low_helical_propensity
8	I	Ile	non_polar	high_helical_propensity
9	K	Lys	positive	high_helical_propensity
10	L	Leu	non_polar	high_helical_propensity
11	M	Met	polar_neutral	high_helical_propensity
12	N	Asn	polar_neutral	low_helical_propensity
13	P	Pro	unique	disruptive
14	Q	Gln	polar_neutral	high_helical_propensity
15	R	Arg	positive	high_helical_propensity
16	S	Ser	polar_neutral	low_helical_propensity
17	T	Thr	polar_neutral	low_helical_propensity
18	V	Val	non_polar	low_helical_propensity
19	W	Trp	aromatic	high_helical_propensity
20	X	X	X	X
21	Y	Tyr	aromatic	low_helical_propensity
